"","island","species","body_mass_g","p_value"
"73","Dream","Adelie",3350,0.819408792067447
"74","Dream","Adelie",3550,0.819408792067447
"75","Dream","Adelie",3800,0.819408792067447
"76","Dream","Adelie",3500,0.819408792067447
"77","Dream","Adelie",3950,0.819408792067447
"78","Dream","Adelie",3600,0.819408792067447
"79","Dream","Adelie",3550,0.819408792067447
"80","Dream","Adelie",4300,0.819408792067447
"81","Dream","Adelie",3500,0.819408792067447
"82","Dream","Adelie",4475,0.819408792067447
"83","Dream","Adelie",3425,0.819408792067447
"84","Dream","Adelie",3900,0.819408792067447
"85","Dream","Adelie",3175,0.819408792067447
"86","Dream","Adelie",3975,0.819408792067447
"87","Dream","Adelie",3400,0.819408792067447
"88","Dream","Adelie",4250,0.819408792067447
"89","Dream","Adelie",3400,0.819408792067447
"90","Dream","Adelie",3475,0.819408792067447
"91","Dream","Adelie",3050,0.819408792067447
"92","Dream","Adelie",3725,0.819408792067447
"93","Dream","Adelie",3000,0.819408792067447
"94","Dream","Adelie",3650,0.819408792067447
"95","Dream","Adelie",4250,0.819408792067447
"96","Dream","Adelie",3475,0.819408792067447
"97","Dream","Adelie",3450,0.819408792067447
"98","Dream","Adelie",3750,0.819408792067447
"99","Dream","Adelie",3700,0.819408792067447
"100","Dream","Adelie",4000,0.819408792067447
"101","Torgersen","Adelie",3750,0.97243961564828
"102","Torgersen","Adelie",3800,0.97243961564828
"103","Torgersen","Adelie",3250,0.97243961564828
"104","Torgersen","Adelie",3450,0.97243961564828
"105","Torgersen","Adelie",3650,0.97243961564828
"106","Torgersen","Adelie",3625,0.97243961564828
"107","Torgersen","Adelie",4675,0.97243961564828
"108","Torgersen","Adelie",3475,0.97243961564828
"109","Torgersen","Adelie",4250,0.97243961564828
"110","Torgersen","Adelie",3300,0.97243961564828
"111","Torgersen","Adelie",3700,0.97243961564828
"112","Torgersen","Adelie",3200,0.97243961564828
"113","Torgersen","Adelie",3800,0.97243961564828
"114","Torgersen","Adelie",4400,0.97243961564828
"115","Torgersen","Adelie",3700,0.97243961564828
"116","Torgersen","Adelie",3450,0.97243961564828
"117","Torgersen","Adelie",4500,0.97243961564828
"118","Torgersen","Adelie",3325,0.97243961564828
"119","Torgersen","Adelie",4200,0.97243961564828
"120","Torgersen","Adelie",4150,0.97243961564828
"121","Torgersen","Adelie",3700,0.97243961564828
"122","Torgersen","Adelie",4250,0.97243961564828
"123","Torgersen","Adelie",3700,0.97243961564828
"124","Torgersen","Adelie",3900,0.97243961564828
"125","Torgersen","Adelie",3550,0.97243961564828
"126","Torgersen","Adelie",4000,0.97243961564828
"127","Torgersen","Adelie",3200,0.97243961564828
"128","Torgersen","Adelie",3050,0.97243961564828
"129","Torgersen","Adelie",4450,0.97243961564828
"130","Torgersen","Adelie",3600,0.97243961564828
"131","Torgersen","Adelie",3900,0.97243961564828
"132","Torgersen","Adelie",3550,0.97243961564828
"133","Torgersen","Adelie",3275,0.97243961564828
"134","Torgersen","Adelie",4300,0.97243961564828
"135","Torgersen","Adelie",3050,0.97243961564828
"136","Torgersen","Adelie",4000,0.97243961564828
"137","Torgersen","Adelie",3325,0.97243961564828
"138","Torgersen","Adelie",3500,0.97243961564828
"139","Torgersen","Adelie",3350,0.97243961564828
"140","Torgersen","Adelie",3325,0.97243961564828
"141","Torgersen","Adelie",4700,0.97243961564828
"142","Torgersen","Adelie",3800,0.97243961564828
"143","Torgersen","Adelie",4200,0.97243961564828
"144","Torgersen","Adelie",3050,0.97243961564828
"145","Torgersen","Adelie",4000,0.97243961564828
"146","Torgersen","Adelie",2900,0.97243961564828
"147","Torgersen","Adelie",3775,0.97243961564828
"148","Torgersen","Adelie",3450,0.97243961564828
"149","Torgersen","Adelie",3875,0.97243961564828
"150","Torgersen","Adelie",3150,0.97243961564828
"151","Torgersen","Adelie",3500,0.97243961564828
